Aileron;Elevator;Rudder;Throttle;Roll;Pitch;Yaw;Altitude
0,000853822;0,006685469;0,002171577;0,8955;-6,7117658;1,8014725;197,21812;2652,7678
0,000853822;0,006685469;0,002171577;0,8955;-6,7222724;1,8224612;197,24664;2652,7957
0,000749341;0,005432545;0,000624916;0,89212495;-6,7329216;1,8433717;197,27563;2652,8235
0,00078798;0,005934498;0,00123099;0,8933906;-6,7438917;1,8640373;197,30469;2652,8516
0,000775576;0,005778124;0,001040668;0,8929863;-6,7546635;1,8845046;197,33365;2652,8799
0,000791302;0,005975489;0,001281135;0,89349824;-6,7651763;1,9044353;197,36183;2652,9077
0,000845912;0,006602387;0,002064756;0,89524978;-6,775125;1,92391;197,38922;2652,9358
0,000852821;0,006675172;0,00215829;0,89546871;-6,7844167;1,9431319;197,41592;2652,9641
0,000853686;0,006684177;0,002169908;0,89549607;-6,7930717;1,9620731;197,44177;2652,9927
0,000853805;0,006685303;0,002171362;0,89549953;-6,800981;1,9803364;197,46606;2653,021
0,000853805;0,007698121;0,002171552;0,89549994;-6,8082037;1,9982227;197,48912;2653,0496
0,000853822;0,008674027;0,002171564;0,8955;-6,8144045;2,0156381;197,51065;2653,0781
0,000853822;0,010160245;0,002171577;0,8955;-6,8190918;2,032475;197,53043;2653,1067
0,000853822;0,022637777;0,002171577;0,8955;-6,8195796;2,0487738;197,54828;2653,1357
0,000853822;0,037040841;0,002171577;0,8955;-6,8118362;2,0648944;197,56433;2653,1653
0,000853822;0,052027244;0,002171577;0,8955;-6,791131;2,0804496;197,57787;2653,1948
0,000853822;0,060080796;0,002171577;0,8955;-6,7552357;2,0953155;197,58862;2653,2246
0,000783656;0,064681634;0,002171577;0,8955;-6,7048979;2,1096313;197,59659;2653,2537
0,000723939;0,067447543;0,002171577;0,8955;-6,6414208;2,1233623;197,60168;2653,2832
0,000837201;0,082728371;0,002171577;0,8955;-6,5640421;2,1364789;197,60374;2653,313
0,000851736;0,08471901;0,002171577;0,8955;-6,4719257;2,1490679;197,60269;2653,3423
0,00085355;0,084969044;0,002171577;0,8955;-6,3687248;2,1609583;197,59842;2653,3721
0,000853788;0,085000314;0,002171577;0,8955;-6,2572999;2,1721008;197,59099;2653,4016
0,000853805;0,08500427;0,002171577;0,8955;-6,138731;2,1825526;197,58032;2653,4314
0,000853822;0,091473676;0,002171577;0,8955;-6,0121264;2,1924138;197,56612;2653,4619
0,000853822;0,097275019;0,002171577;0,8955;-5,8759928;2,2015901;197,54828;2653,4929
0,000853822;0,11497159;0,002171577;0,8955;-5,7305555;2,2098815;197,52728;2653,5237
0,000853822;0,13321982;0,002171577;0,8955;-5,5723066;2,2173898;197,50314;2653,554
0,000853822;0,13831447;0,002171577;0,8955;-5,3980069;2,2242191;197,4758;2653,5845
0,003375005;0,12274288;0,002171577;0,8955;-5,2114682;2,230505;197,44519;2653,6147
0,004298636;0,10484736;0,00116514;0,89324999;-5,0196476;2,2367198;197,41101;2653,6458
0,004419242;0,093109064;0,000204465;0,89128125;-4,8345714;2,2427416;197,37392;2653,6763
0,006510388;0,081010699;7,94E-05;0,89103514;-4,6598635;2,2487259;197,33389;2653,707
0,001949994;0,000690394;0,001683054;0,89437938;-4,5068049;2,2544289;197,29126;2653,738
0,000974021;-0,005683126;0,002111942;0,89535993;-4,3925729;2,2587545;197,24522;2653,77
0,00076345;-0,009110478;0,00061633;0,89210749;-4,3161573;2,2614186;197,19853;2653,8018
0,000789781;-5,26E-05;0,001229961;0,89338839;-4,2675953;2,262615;197,1505;2653,8333
0,000845726;0,006066175;0,002058853;0,89523607;-4,236002;2,2624693;197,10181;2653,8645
0,000852804;0,005104437;0,002157568;0,89546698;-4,2157078;2,2611353;197,052;2653,896
0,000853686;0,004975401;0,002169819;0,89549583;-4,2045426;2,2587361;197,00151;2653,928
0,000853805;0,004959134;0,002171349;0,89549947;-4,2005129;2,2553792;196,95032;2653,9595
0,000853805;0,006299166;0,002171552;0,89549994;-4,201961;2,2511876;196,89861;2653,9912
0,000853822;0,005826144;0,00116514;0,8955;-4,2072449;2,2463369;196,84702;2654,0232
0,000783656;0,005070717;0,000204465;0,89324999;-4,2159023;2,2408888;196,79518;2654,0544
0,000723939;0,004971133;7,94E-05;0,89128125;-4,22754;2,2348897;196,74289;2654,0864
0,000837201;0,006497763;0,001931518;0,89497268;-4,2414494;2,228399;196,68991;2654,1189
0,000851736;0,006662465;0,002141926;0,89543408;-4,2566805;2,2216444;196,6373;2654,1511
